Hour,Closed PnL
0,66.44002790232558
1,-48.79683810958904
2,45.1007664476641
3,99.53564160397636
4,142.7967760161464
5,94.14862144044558
6,61.6701210309829
7,279.1796303945891
8,95.2062957096953
9,104.75096061120841
10,223.99534616560956
11,236.04853745592484
12,257.4581094856928
13,167.57435963636365
14,31.14167447459165
15,160.87835825747962
16,63.14823346625767
17,115.28559247579814
18,94.91088682450001
19,84.04818626819484
20,40.90271244303066
21,91.02663554877385
22,65.16184732026143
23,-84.04575777742782
